Day,Hour,PCB
03/08/2021,00,"137,15"
03/08/2021,01,"135,93"
03/08/2021,02,"133,54"
03/08/2021,03,"132,84"
03/08/2021,04,"133,92"
03/08/2021,05,"135,30"
03/08/2021,06,"140,00"
03/08/2021,07,"141,29"
03/08/2021,08,"178,06"
03/08/2021,09,"174,31"
03/08/2021,10,"263,26"
03/08/2021,11,"262,41"
03/08/2021,12,"262,81"
03/08/2021,13,"262,47"
03/08/2021,14,"168,15"
03/08/2021,15,"167,15"
03/08/2021,16,"162,26"
03/08/2021,17,"162,48"
03/08/2021,18,"256,18"
03/08/2021,19,"264,75"
03/08/2021,20,"267,14"
03/08/2021,21,"268,37"
03/08/2021,22,"173,52"
03/08/2021,23,"171,52"
04/08/2021,00,"141,70"
04/08/2021,01,"134,59"
04/08/2021,02,"126,92"
04/08/2021,03,"122,53"
04/08/2021,04,"124,21"
04/08/2021,05,"127,74"
04/08/2021,06,"137,93"
04/08/2021,07,"140,58"
04/08/2021,08,"178,89"
04/08/2021,09,"177,05"
04/08/2021,10,"265,75"
04/08/2021,11,"265,07"
04/08/2021,12,"263,28"
04/08/2021,13,"260,16"
04/08/2021,14,"161,24"
04/08/2021,15,"151,84"
04/08/2021,16,"149,33"
04/08/2021,17,"157,41"
04/08/2021,18,"258,98"
04/08/2021,19,"261,89"
04/08/2021,20,"272,24"
04/08/2021,21,"277,92"
04/08/2021,22,"184,60"
04/08/2021,23,"183,80"
05/08/2021,00,"141,92"
05/08/2021,01,"139,16"
05/08/2021,02,"137,13"
05/08/2021,03,"133,71"
05/08/2021,04,"132,74"
05/08/2021,05,"133,02"
05/08/2021,06,"134,46"
05/08/2021,07,"134,02"
05/08/2021,08,"175,57"
05/08/2021,09,"174,27"
05/08/2021,10,"263,23"
05/08/2021,11,"257,69"
05/08/2021,12,"256,14"
05/08/2021,13,"252,76"
05/08/2021,14,"143,56"
05/08/2021,15,"138,32"
05/08/2021,16,"137,84"
05/08/2021,17,"138,20"
05/08/2021,18,"239,80"
05/08/2021,19,"258,93"
05/08/2021,20,"273,74"
05/08/2021,21,"278,28"
05/08/2021,22,"184,95"
05/08/2021,23,"182,14"
06/08/2021,00,"135,42"
06/08/2021,01,"135,31"
06/08/2021,02,"131,65"
06/08/2021,03,"131,43"
06/08/2021,04,"130,83"
06/08/2021,05,"132,94"
06/08/2021,06,"131,97"
06/08/2021,07,"134,38"
06/08/2021,08,"171,01"
06/08/2021,09,"168,59"
06/08/2021,10,"259,02"
06/08/2021,11,"257,87"
06/08/2021,12,"258,65"
06/08/2021,13,"258,09"
06/08/2021,14,"161,65"
06/08/2021,15,"145,41"
06/08/2021,16,"135,72"
06/08/2021,17,"131,12"
06/08/2021,18,"224,78"
06/08/2021,19,"233,78"
06/08/2021,20,"264,05"
06/08/2021,21,"264,81"
06/08/2021,22,"172,10"
06/08/2021,23,"172,04"
07/08/2021,00,"134,76"
07/08/2021,01,"131,14"
07/08/2021,02,"124,52"
07/08/2021,03,"121,80"
07/08/2021,04,"115,77"
07/08/2021,05,"115,08"
07/08/2021,06,"120,60"
07/08/2021,07,"121,29"
07/08/2021,08,"117,89"
07/08/2021,09,"98,76"
07/08/2021,10,"85,65"
07/08/2021,11,"78,84"
07/08/2021,12,"75,99"
07/08/2021,13,"66,86"
07/08/2021,14,"39,47"
07/08/2021,15,"25,07"
07/08/2021,16,"18,65"
07/08/2021,17,"19,90"
07/08/2021,18,"34,20"
07/08/2021,19,"90,00"
07/08/2021,20,"114,79"
07/08/2021,21,"132,27"
07/08/2021,22,"134,85"
07/08/2021,23,"125,94"
08/08/2021,00,"136,52"
08/08/2021,01,"128,00"
08/08/2021,02,"125,67"
08/08/2021,03,"124,44"
08/08/2021,04,"124,45"
08/08/2021,05,"124,18"
08/08/2021,06,"124,09"
08/08/2021,07,"123,66"
08/08/2021,08,"122,72"
08/08/2021,09,"102,21"
08/08/2021,10,"97,42"
08/08/2021,11,"99,85"
08/08/2021,12,"100,36"
08/08/2021,13,"103,66"
08/08/2021,14,"103,01"
08/08/2021,15,"99,80"
08/08/2021,16,"92,69"
08/08/2021,17,"90,25"
08/08/2021,18,"102,42"
08/08/2021,19,"121,02"
08/08/2021,20,"134,58"
08/08/2021,21,"137,25"
08/08/2021,22,"137,85"
08/08/2021,23,"137,59"
09/08/2021,00,"143,63"
09/08/2021,01,"141,11"
09/08/2021,02,"134,89"
09/08/2021,03,"134,28"
09/08/2021,04,"136,69"
09/08/2021,05,"139,73"
09/08/2021,06,"143,95"
09/08/2021,07,"142,80"
09/08/2021,08,"176,06"
09/08/2021,09,"172,98"
09/08/2021,10,"264,01"
09/08/2021,11,"262,35"
09/08/2021,12,"262,54"
09/08/2021,13,"262,54"
09/08/2021,14,"167,33"
09/08/2021,15,"161,18"
09/08/2021,16,"159,50"
09/08/2021,17,"163,68"
09/08/2021,18,"261,25"
09/08/2021,19,"266,27"
09/08/2021,20,"271,75"
09/08/2021,21,"274,44"
09/08/2021,22,"179,87"
09/08/2021,23,"178,19"
10/08/2021,00,"145,99"
10/08/2021,01,"143,98"
10/08/2021,02,"139,04"
10/08/2021,03,"137,89"
10/08/2021,04,"141,62"
10/08/2021,05,"142,99"
10/08/2021,06,"145,30"
10/08/2021,07,"146,30"
10/08/2021,08,"183,84"
10/08/2021,09,"180,50"
10/08/2021,10,"268,91"
10/08/2021,11,"268,22"
10/08/2021,12,"268,04"
10/08/2021,13,"267,17"
10/08/2021,14,"170,02"
10/08/2021,15,"166,40"
10/08/2021,16,"163,94"
10/08/2021,17,"166,35"
10/08/2021,18,"260,77"
10/08/2021,19,"275,18"
10/08/2021,20,"280,14"
10/08/2021,21,"281,80"
10/08/2021,22,"185,87"
10/08/2021,23,"182,49"
11/08/2021,00,"146,11"
11/08/2021,01,"139,41"
11/08/2021,02,"135,04"
11/08/2021,03,"129,60"
11/08/2021,04,"131,01"
11/08/2021,05,"135,92"
11/08/2021,06,"144,88"
11/08/2021,07,"147,62"
11/08/2021,08,"186,03"
11/08/2021,09,"183,14"
11/08/2021,10,"272,03"
11/08/2021,11,"270,67"
11/08/2021,12,"270,89"
11/08/2021,13,"271,18"
11/08/2021,14,"176,42"
11/08/2021,15,"173,75"
11/08/2021,16,"171,98"
11/08/2021,17,"174,02"
11/08/2021,18,"272,66"
11/08/2021,19,"284,92"
11/08/2021,20,"286,48"
11/08/2021,21,"288,95"
11/08/2021,22,"191,70"
11/08/2021,23,"188,53"
12/08/2021,00,"150,51"
12/08/2021,01,"144,74"
12/08/2021,02,"142,87"
12/08/2021,03,"138,07"
12/08/2021,04,"136,40"
12/08/2021,05,"138,35"
12/08/2021,06,"147,31"
12/08/2021,07,"151,26"
12/08/2021,08,"185,54"
12/08/2021,09,"183,56"
12/08/2021,10,"272,65"
12/08/2021,11,"269,90"
12/08/2021,12,"267,75"
12/08/2021,13,"269,12"
12/08/2021,14,"177,34"
12/08/2021,15,"173,27"
12/08/2021,16,"170,34"
12/08/2021,17,"175,41"
12/08/2021,18,"282,80"
12/08/2021,19,"289,75"
12/08/2021,20,"292,96"
12/08/2021,21,"293,93"
12/08/2021,22,"194,49"
12/08/2021,23,"187,23"
13/08/2021,00,"153,59"
13/08/2021,01,"149,46"
13/08/2021,02,"142,09"
13/08/2021,03,"138,71"
13/08/2021,04,"134,30"
13/08/2021,05,"137,74"
13/08/2021,06,"145,94"
13/08/2021,07,"150,23"
13/08/2021,08,"187,86"
13/08/2021,09,"184,37"
13/08/2021,10,"275,30"
13/08/2021,11,"274,78"
13/08/2021,12,"276,81"
13/08/2021,13,"276,87"
13/08/2021,14,"183,50"
13/08/2021,15,"182,62"
13/08/2021,16,"179,40"
13/08/2021,17,"182,52"
13/08/2021,18,"276,50"
13/08/2021,19,"280,47"
13/08/2021,20,"290,51"
13/08/2021,21,"293,55"
13/08/2021,22,"200,20"
13/08/2021,23,"195,50"
14/08/2021,00,"159,92"
14/08/2021,01,"159,21"
14/08/2021,02,"155,35"
14/08/2021,03,"153,03"
14/08/2021,04,"149,55"
14/08/2021,05,"149,67"
14/08/2021,06,"152,04"
14/08/2021,07,"154,26"
14/08/2021,08,"152,60"
14/08/2021,09,"149,82"
14/08/2021,10,"147,72"
14/08/2021,11,"143,44"
14/08/2021,12,"134,83"
14/08/2021,13,"131,64"
14/08/2021,14,"121,42"
14/08/2021,15,"115,26"
14/08/2021,16,"114,44"
14/08/2021,17,"115,82"
14/08/2021,18,"134,83"
14/08/2021,19,"150,26"
14/08/2021,20,"160,57"
14/08/2021,21,"166,44"
14/08/2021,22,"166,43"
14/08/2021,23,"163,21"
15/08/2021,00,"159,60"
15/08/2021,01,"157,80"
15/08/2021,02,"156,39"
15/08/2021,03,"156,09"
15/08/2021,04,"155,74"
15/08/2021,05,"155,74"
15/08/2021,06,"153,99"
15/08/2021,07,"150,19"
15/08/2021,08,"141,71"
15/08/2021,09,"142,58"
15/08/2021,10,"136,18"
15/08/2021,11,"134,10"
15/08/2021,12,"128,84"
15/08/2021,13,"134,30"
15/08/2021,14,"127,25"
15/08/2021,15,"115,78"
15/08/2021,16,"110,92"
15/08/2021,17,"110,69"
15/08/2021,18,"112,74"
15/08/2021,19,"125,01"
15/08/2021,20,"156,31"
15/08/2021,21,"158,33"
15/08/2021,22,"159,30"
15/08/2021,23,"158,07"
16/08/2021,00,"139,51"
16/08/2021,01,"128,43"
16/08/2021,02,"125,55"
16/08/2021,03,"126,20"
16/08/2021,04,"125,15"
16/08/2021,05,"123,67"
16/08/2021,06,"125,85"
16/08/2021,07,"124,86"
16/08/2021,08,"157,99"
16/08/2021,09,"152,61"
16/08/2021,10,"240,91"
16/08/2021,11,"239,82"
16/08/2021,12,"239,93"
16/08/2021,13,"239,62"
16/08/2021,14,"147,26"
16/08/2021,15,"146,26"
16/08/2021,16,"144,55"
16/08/2021,17,"144,46"
16/08/2021,18,"238,69"
16/08/2021,19,"242,17"
16/08/2021,20,"257,39"
16/08/2021,21,"276,73"
16/08/2021,22,"179,45"
16/08/2021,23,"166,01"
17/08/2021,00,"126,15"
17/08/2021,01,"122,91"
17/08/2021,02,"121,75"
17/08/2021,03,"121,88"
17/08/2021,04,"120,93"
17/08/2021,05,"119,61"
17/08/2021,06,"122,00"
17/08/2021,07,"119,53"
17/08/2021,08,"152,89"
17/08/2021,09,"149,99"
17/08/2021,10,"239,93"
17/08/2021,11,"239,84"
17/08/2021,12,"240,41"
17/08/2021,13,"244,47"
17/08/2021,14,"152,13"
17/08/2021,15,"148,74"
17/08/2021,16,"146,71"
17/08/2021,17,"146,73"
17/08/2021,18,"245,37"
17/08/2021,19,"258,51"
17/08/2021,20,"275,80"
17/08/2021,21,"288,85"
17/08/2021,22,"188,38"
17/08/2021,23,"170,26"
18/08/2021,00,"127,72"
18/08/2021,01,"123,65"
18/08/2021,02,"123,45"
18/08/2021,03,"124,21"
18/08/2021,04,"123,90"
18/08/2021,05,"122,99"
18/08/2021,06,"128,02"
18/08/2021,07,"139,09"
18/08/2021,08,"181,52"
18/08/2021,09,"182,19"
18/08/2021,10,"256,31"
18/08/2021,11,"257,80"
18/08/2021,12,"262,87"
18/08/2021,13,"271,45"
18/08/2021,14,"181,79"
18/08/2021,15,"182,16"
18/08/2021,16,"177,19"
18/08/2021,17,"175,42"
18/08/2021,18,"270,05"
18/08/2021,19,"283,49"
18/08/2021,20,"294,94"
18/08/2021,21,"295,53"
18/08/2021,22,"201,78"
18/08/2021,23,"193,79"
19/08/2021,00,"138,46"
19/08/2021,01,"126,06"
19/08/2021,02,"124,39"
19/08/2021,03,"121,57"
19/08/2021,04,"121,05"
19/08/2021,05,"120,70"
19/08/2021,06,"145,89"
19/08/2021,07,"151,85"
19/08/2021,08,"190,40"
19/08/2021,09,"183,83"
19/08/2021,10,"269,83"
19/08/2021,11,"272,67"
19/08/2021,12,"277,95"
19/08/2021,13,"279,65"
19/08/2021,14,"185,41"
19/08/2021,15,"182,39"
19/08/2021,16,"182,04"
19/08/2021,17,"181,87"
19/08/2021,18,"277,93"
19/08/2021,19,"288,89"
19/08/2021,20,"293,58"
19/08/2021,21,"295,00"
19/08/2021,22,"200,52"
19/08/2021,23,"198,69"
20/08/2021,00,"152,98"
20/08/2021,01,"152,19"
20/08/2021,02,"150,48"
20/08/2021,03,"148,68"
20/08/2021,04,"147,84"
20/08/2021,05,"147,87"
20/08/2021,06,"151,98"
20/08/2021,07,"153,08"
20/08/2021,08,"190,77"
20/08/2021,09,"186,34"
20/08/2021,10,"275,75"
20/08/2021,11,"272,14"
20/08/2021,12,"273,14"
20/08/2021,13,"270,02"
20/08/2021,14,"176,65"
20/08/2021,15,"167,41"
20/08/2021,16,"166,71"
20/08/2021,17,"167,88"
20/08/2021,18,"272,57"
20/08/2021,19,"284,38"
20/08/2021,20,"289,76"
20/08/2021,21,"288,90"
20/08/2021,22,"192,33"
20/08/2021,23,"189,95"
21/08/2021,00,"151,40"
21/08/2021,01,"149,51"
21/08/2021,02,"146,67"
21/08/2021,03,"142,06"
21/08/2021,04,"136,80"
21/08/2021,05,"142,12"
21/08/2021,06,"146,60"
21/08/2021,07,"147,80"
21/08/2021,08,"146,47"
21/08/2021,09,"143,85"
21/08/2021,10,"141,36"
21/08/2021,11,"135,55"
21/08/2021,12,"131,55"
21/08/2021,13,"132,50"
21/08/2021,14,"127,71"
21/08/2021,15,"118,51"
21/08/2021,16,"118,17"
21/08/2021,17,"122,63"
21/08/2021,18,"137,04"
21/08/2021,19,"145,69"
21/08/2021,20,"152,70"
21/08/2021,21,"157,69"
21/08/2021,22,"153,83"
21/08/2021,23,"150,50"
22/08/2021,00,"143,69"
22/08/2021,01,"142,28"
22/08/2021,02,"138,93"
22/08/2021,03,"141,96"
22/08/2021,04,"138,55"
22/08/2021,05,"134,54"
22/08/2021,06,"140,36"
22/08/2021,07,"140,96"
22/08/2021,08,"139,47"
22/08/2021,09,"131,17"
22/08/2021,10,"118,56"
22/08/2021,11,"118,28"
22/08/2021,12,"127,85"
22/08/2021,13,"137,48"
22/08/2021,14,"137,34"
22/08/2021,15,"115,76"
22/08/2021,16,"115,72"
22/08/2021,17,"115,84"
22/08/2021,18,"116,10"
22/08/2021,19,"124,36"
22/08/2021,20,"134,27"
22/08/2021,21,"142,95"
22/08/2021,22,"141,69"
22/08/2021,23,"123,79"
23/08/2021,00,"122,57"
23/08/2021,01,"120,07"
23/08/2021,02,"119,86"
23/08/2021,03,"119,95"
23/08/2021,04,"119,98"
23/08/2021,05,"120,02"
23/08/2021,06,"124,38"
23/08/2021,07,"143,25"
23/08/2021,08,"180,44"
23/08/2021,09,"177,57"
23/08/2021,10,"262,94"
23/08/2021,11,"258,71"
23/08/2021,12,"254,46"
23/08/2021,13,"247,92"
